Name,URL,Description,Type,Email,Phone
Arbonne (Donnamarie Vanderhorst),http://www.arbonnemelbourne.myarbonne.com.au/,"Vegan makeup, beauty products, vitamins and protein powders.",Shopping,"dmvanderhorst@gmail.com"
The Australian Soap Kitchen,http://theaustraliansoapkitchen.com.au/,"Hand-crafted vegan and palm oil free soap.",Beauty,"hello@theaustraliansoapkitchen.com.au","0447 627 891"
A Very Small Training Group,"https://www.facebook.com/pages/A-Very-Small-Training-Group/357527881067377","Pete and Amanda are a Vegan duo offering all manner of services: mobile personal training, music lessons, babysitting/homework help, dog walking and pet sitting. Based in Keilor East.",Personal Services,"amanda_riddles@hotmail.com",0402 949 497
BathBox,https://www.bathbox.com.au/,"Online store selling a variety of skin care products, most vegan.",Beauty,support@bathbox.com.au
Bed and Broccoli,http://www.bedandbroccoli.com.au/,"Victoria's first vegan bed and breakfast retreat, in beautiful Katandra West, just outside Shepparton, Victoria, in the heart of the Goulburn Valley.",Bed & Breakfast,info@bedandbroccoli.com.au,(03) 5828 3498
Birthday Cake Shop,http://www.birthdaycakeshop.com.au,"Not all vegan, but have a good selection of vegan sorbet icecream cakes. Hard to figure out from their website, so maybe give them a call.","Cakes",info@birthdaycakeshop.com.au,(02) 9836 4444
The Compassionate Kitchen,http://www.thecompassionatekitchen.com.au/,"Vegan wholesale café/restaurant supplier and catering company. Specialises in producing premium, indulgent sweets and savouries.",Baking,thecompassionatekitchen@live.com,0422 899 122
Cruelty Free Super,https://www.crueltyfreesuper.com.au/,"Vegan superannuation fund and other money management.",Investment,lee@crueltyfreesuper.com.au,1300 366 657
Dr Helen's Dental Studio,http://drhelen.com.au/,"Dr Helen's Dental Studio is a centre for dental implants and cosmetic dentistry. She mostly performs surgical implant-related  procedures, including implants and grafting procedures. Whenever available, only non-animal derived graft materials are used and she stay at the forefront of new research to adopt cruelty free products.",Dentist,contact@drhelen.com.au,(03) 9510 5597
Ethical Bride,http://www.ethicalbride.com/,"A resource for to be vegan brides to find cruelty free wedding suppliers in Australia.",info@ethicalbride.com,0420 988 185
Embalm Skincare,http://embalmskincare.com.au/,"Natural vegan skincare products. Online store.","Beauty","Mel@EmbalmSkincare.com.au",0408 370 553
Ethikate Brand & IP Protection,"http://www.ethikate.com.au/","Ethikate has more than a decade of commercial and legal experience, specialising in brand and IP protection.  We work closely with our clients to develop and implement innovative, tailored and sensible brand and IP protection strategies, without overcomplicated legalese or the big price tag. Ethikate’s Principal Lawyer & Trade Marks Attorney Kate Hamer is vegan and believes that businesses should not compromise ethics or other beings for ‘success’. Kate is passionate about helping vegan businesses to flourish by working with them to develop effective brand protection strategies to position vegan businesses at the forefront of business innovation and professionalism. And what better place to make it happen but in Melbourne, the vegan capital of Australia!",Legal,"kate@ethikate.com.au"
Friends of the Earth,http://www.melbourne.foe.org.au/,"Community-based activist organisation that among other things runs a cafe/grocery that also sells clothes, shoes, books and other vegan goodness.",Shopping,"",""
Good Freakin Food,http://www.goodfreakinfood.com.au/,"Vegan organic catering. Lunchbox delivery weekly, as well as event catering.","Food","info@goodfreakinfood.com.au"
Happier Pets (Belinda Morris),http://www.happierpets.com.au/,"Vegan treats for dogs and cats, and animal minding in Altona, Point Cook, and Hoppers Crossing area.",Pet service,"",0428 617 311
Larrykin Dog Treats,https://larrykintreats.com.au/,"Vegan dog treats made with top quality ingredients and no artificial additives or preservatives.",Food,"larry@larrykintreats.com.au",0468 515 017
Last Minute Chef,http://www.lastminutechef.com/product-category-vegan/,"Fully prepared homestyle meals delivered snap frozen to your door.",Food,"enquiries@lastminutechef.com",03 9720 6087
Live Organic Australia,http://www.liveorganicaustralia.com.au/,"Organic vegan soaps and body products.",Beauty,"mailus@liveorganicaustralia.com.au",""
"Mahadeva's Kitchen",http://mahadevaskitchen.com.au/,"Vegan dessert specialists. Retail, wholesale, catering and corporate.",Cakes,"pushkar@mahadevaskitchen.com.au"
Melbourne Vegan Strength,http://www.veganstrength.org/,"Melbourne Vegan Strength (MVS) is an informal training crew formed to show how easy it is to be vegan and gain huge amounts of strength. The crew was started by a few aspiring powerlifters tired of hearing ignorant opinions about veganism, such as that you can’t be strong without eating meat and other animal products.",Fitness,"",""
Mii Maa,http://www.miimaa.com/,"A professional luxury mineral makeup range that is all vegan, cruelty free, gluten free, halal friendly, nano free and organic. 100% Australian made and owned.",Cosmetics,"",""
Mister Nice Guy Cupcakes,http://www.misterniceguy.com.au/,Vegan cupcakes!!! Delivered to your door.,Cupcakes,hello@mistericeguy.com.au,""
Otis Beanery,http://www.otisbeanery.com/melbourne-workshops.html,"Vegan cooking school that teaches a wide range of culinary techniques and styles focussing on the fresh and healthy. Although based in Hobart there are occasional classes in Melbourne.",Cooking,info@otisbeanery.com,"(03) 6228 2359"
Passion for Shoes,https://www.passionforshoes.com.au/,"Located in the Dandenong Ranges and offering vegan shoes and vegan handbags. We hold in-house shoe parties and fund raising events.",Shoes,nicluke1@bigpond.com
Printo,https://www.printo.com.au/t-shirts/vegan-t-shirts.html,"Original vegan tees."
Riversdale Hairworks,http://www.facebook.com/RiversdaleHairworks,"Riversdale Hairworks is a new salon with all of your hairdressing needs. Including cuts, colour, perms, straightening services etc. We use only De Lorenzo products, which are all vegan, plant-based, and made in Australia. All ingredients are also sourced in Australia.",Hair Dresser,riversdalehairworks@gmail.com,(03) 9830 4035
Simplify Vegan,https://simplifyvegan.com.au/,"Online vegan store that sources everything from Australian owned and operated vendors. Technically based in NSW, but they ship to Melbourne no worries.",Store,admin@simplifyvegan.com.au,""
Stephanie Schalken,http://www.stephanieschalken.com.au/,"Vegan, organic, and gluten free cosmetics.",Cosmetics,stephanie@stephanieschalken.com.au
Sweet Petite Creations,http://www.sweetpetitecreations.com.au/,"Vegan desserts to order. Cupcakes, regular cakes, macarons, slices, and more!",Cakes,hello@sweetpetitecreations.com.au,"0431 120 647"
Vegan Cakes by Monika,http://www.vegancakes.com.au/,"Amazing decorated fresh vegan cakes. Everything made from scratch: no Canned fruits, no pre-baked cakes. Check out photos on her website. Can cater for nut and other allergies too.",Cakes,monika.sep@gmail.com
Tinkernicks,http://www.tinkernicks.com/,"Tinkernicks are Michael and Victoria: food enthusiasts based in Melbourne, Australia. They are passionate about developing delicious healthy, organic and fairly traded snack foods. Using top-quality, organic wholefoods, they create delicious flavour combinations. You won't find any fillers, preservatives or additives in any of their snacks.",Cookies,tinkernicks@gmail.com,""
World Organic (Angela Rocillo),http://worldorganic.com.au/Angela,"Certified Organic Skincare that is also Vegan certified. Their mission is to offer ethically produced, pure, natural, products of the highest quality; products which are not only good for the people who use them, but also the world in which we live. World Organic is very much a community minded company, who care for the environment and do not test on animals. Angela also does in home pampering sessions for you to try out the products!",Beauty,thescarlettangel@hotmail.com,(03) 9388 8644
Vegan Perfection,http://www.veganperfection.com.au/,"Online retailer of vegan chocolate, meat and dairy alternatives, and more.",Food,"jeremyj@veganperfection.com.au",(03) 9357 8098
Vegan Style,http://www.veganstyle.com.au/,"Fashionable and stylish shoes for men and women.
Carrying several international vegan brands, Vegan Style provides high-quality, stylish shoes, bags and accessories to the ethical consumer. Visit us at our shop, 22 Smith Street, Collingwood, VIC, 3066 or shop online.",Clothing,sales@veganstyle.com.au,""
Vegan Tree Owl,http://www.vegantreeowl.com.au,"100% Vegan soap, body butter, body lotion & lip balm. Order online for same day postage of over 80+ varieties of soap scents & a huge range of balms, lotions & body butter scents.",Soap,sales@vegantreeowl.com.au,(03) 8370 5315
